"filename", "language", "Swift", "XML", "JSON", "comment", "blank", "total"
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/BookTab/BookTab.swift", "Swift", 59, 0, 0, 5, 14, 78
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/BookTab/Component/DayExpensesView.swift", "Swift", 49, 0, 0, 3, 11, 63
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/BookTab/Component/IncomeExpenditureView.swift", "Swift", 55, 0, 0, 10, 17, 82
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/BookTab/MonthExpensesView.swift", "Swift", 51, 0, 0, 3, 16, 70
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/HorseAccountingApp.swift", "Swift", 53, 0, 0, 12, 13, 78
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/MainView.swift", "Swift", 86, 0, 0, 20, 19, 125
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/MeTab/MeTab.swift", "Swift", 40, 0, 0, 2, 7, 49
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/MeTab/Settings/FocusField.swift", "Swift", 23, 0, 0, 1, 4, 28
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/MeTab/Settings/FocusModifyView.swift", "Swift", 19, 0, 0, 0, 7, 26
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/MeTab/Settings/MultilineFocusViewForModify.swift", "Swift", 64, 0, 0, 17, 13, 94
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/MeTab/Settings/SideMenu_Settings.swift", "Swift", 12, 0, 0, 1, 3, 16
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/MeTab/Settings/SingleFocusViewForModify.swift", "Swift", 26, 0, 0, 0, 9, 35
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/PreviewUse.swift", "Swift", 1853, 0, 0, 21, 243, 2117
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/ReportTab/Focus/FocusChart/LineChartView.swift", "Swift", 112, 0, 0, 7, 15, 134
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/ReportTab/Focus/FocusChartView.swift", "Swift", 46, 0, 0, 15, 8, 69
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/ReportTab/Focus/FocusPie/PieChartView.swift", "Swift", 129, 0, 0, 20, 21, 170
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/ReportTab/Focus/FocusPie/PieSliceView.swift", "Swift", 38, 0, 0, 7, 8, 53
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/ReportTab/Report/Report/BriefReportView.swift", "Swift", 26, 0, 0, 2, 5, 33
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/ReportTab/Report/Report/ExReportCardContent.swift", "Swift", 40, 0, 0, 0, 5, 45
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/ReportTab/Report/Report/ReportItemView.swift", "Swift", 23, 0, 0, 0, 3, 26
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/ReportTab/Report/Story/HabitHistoryReportCardContent.swift", "Swift", 16, 0, 0, 2, 4, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/ReportTab/Report/Story/HabitThirtyReportCardContent.swift", "Swift", 18, 0, 0, 2, 4, 24
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/ReportTab/Report/Story/StoryReportCardContent.swift", "Swift", 16, 0, 0, 2, 4, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/ReportTab/Report/Story/StoryReportView.swift", "Swift", 15, 0, 0, 1, 6, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/ReportTab/ReportTab.swift", "Swift", 110, 0, 0, 3, 11, 124
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/StoryTab/Component/RatingView.swift", "Swift", 18, 0, 0, 0, 4, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/StoryTab/StoryTab.swift", "Swift", 80, 0, 0, 3, 15, 98
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/TopViews/FloatingAddButton.swift", "Swift", 76, 0, 0, 5, 11, 92
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/App/TopViews/SuccessfullyAlert.swift", "Swift", 29, 0, 0, 2, 6, 37
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 14, 0, 1, 15
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/Contents.json", "JSON", 0, 0, 6, 0, 1, 7
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/LaunchCover.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/AAA_Canteen_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/AAA_Canteen_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/AAA_Canteen_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/AAB_Takeout_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/AAB_Takeout_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/AAB_Takeout_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/AAC_Goout_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/AAC_Goout_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/AAC_Goout_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/ABA_Snack_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/ABA_Snack_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/ABA_Snack_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/ABB_Drink_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/ABB_Drink_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/ABB_Drink_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/ABC_Fruit_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/ABC_Fruit_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/ABC_Fruit_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BA_Clothes_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BA_Clothes_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BA_Clothes_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BB_Skin_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BB_Skin_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BB_Skin_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BC_Hair_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BC_Hair_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BC_Hair_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BD_LifeOthers_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BD_LifeOthers_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BD_LifeOthers_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BE_Electronics_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BE_Electronics_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BE_Electronics_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/CAA_WaterPower_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/CAA_WaterPower_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/CAA_WaterPower_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/CAB_WashingMachine_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/CAB_WashingMachine_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/CAB_WashingMachine_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/CB_Medical_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/CB_Medical_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/CB_Medical_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/CC_Sports_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/CC_Sports_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/CC_Sports_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/Contents.json", "JSON", 0, 0, 6, 0, 1, 7
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/DA_fee_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/DA_fee_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/DA_fee_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/DB_Book_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/DB_Book_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/DB_Book_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/DC_Documents_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/DC_Documents_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/DC_Documents_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/DD_Ruler_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/DD_Ruler_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/DD_Ruler_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/DE_StudyOthers_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/DE_StudyOthers_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/DE_StudyOthers_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/EA_Plane_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/EA_Plane_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/EA_Plane_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/EB_PublicTrans_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/EB_PublicTrans_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/EB_PublicTrans_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/EC_Bike_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/EC_Bike_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/EC_Bike_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/FA_PartyDinner_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/FA_PartyDinner_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/FA_PartyDinner_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/GA_KTV_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/GA_KTV_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/GA_KTV_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/GC_Exbhits_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/GC_Exbhits_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/GC_Exbhits_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/GD_Landscape_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/GD_Landscape_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/GD_Landscape_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/GE_Movie_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/GE_Movie_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/GE_Movie_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/HA_VIP_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/HA_VIP_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/HA_VIP_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/HB_PhoneCharge_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/HB_PhoneCharge_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/HB_PhoneCharge_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/I_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/I_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/I_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/OA_LivingExpense_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/OA_LivingExpense_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/OA_LivingExpense_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/OB_Schoolarship_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
